center_mb	gc_percent	unique_tss	wolf_snp_count	dog_snp_count	campbell_pedigree	wolf_ld	dog_ld
92.050224	38.03365126730404	9	691.0	440.0	1.2807178610119151e-09	5.317946568207388e-09	5.8614949724167254e-09
92.150224	40.4687421875	1	882.0	544.0	1.2807178610130254e-09	1.3249251536474604e-08	6.4512858539433895e-09
92.250224	44.174451171875	0	1076.0	622.0	1.2807178610119151e-09	1.4370375396189905e-08	9.896605344519305e-09
92.350224	41.583060799807555	1	748.0	473.0	1.2807178610130254e-09	4.499545682904449e-09	5.6446495054096605e-09
92.450224	41.2841640625	2	801.0	494.0	1.2807178610119151e-09	5.080385310481939e-09	5.180871986135704e-09
92.550224	41.192353515625	1	597.0	366.0	1.1821526109137003e-08	3.6208051184072333e-09	3.6180954322062585e-09
92.650224	39.931638671875	2	433.0	331.0	1.562475852236678e-08	1.1814473870719323e-09	1.2093594398598918e-09
92.750224	41.38027052631579	6	327.0	367.0	1.2815807672250656e-09	1.2984264434556803e-09	1.0372217969312203e-09
92.850224	40.25259765625	5	833.0	641.0	1.2815807672239553e-09	7.2860482431236215e-09	8.038894975083144e-09
92.950224	43.2028359375	1	842.0	581.0	1.2815807672250656e-09	2.4658635064200853e-09	4.757434103546121e-09
93.050224	41.49275644030449	4	989.0	818.0	1.2815807672250656e-09	9.151178274348081e-09	9.225399887642372e-09
93.150224	43.83907619841147	5	978.0	725.0	1.2815807672250656e-09	7.053130470382474e-09	2.2991869560983204e-08
93.250224	41.37383984375	1	1086.0	695.0	1.2815807672239553e-09	3.699457843555631e-09	3.0366731348452358e-09
93.350224	37.03502565472879	6	1038.0	684.0	1.2815807672250656e-09	6.161644463148486e-09	7.9802950419805e-09
93.450224	36.274689453125	8	961.0	524.0	1.2815807672250656e-09	2.4812240792904116e-09	4.5858279483912415e-09
93.550224	38.631771484375	4	782.0	543.0	1.2815807672250656e-09	3.297437258873437e-09	2.330000896725304e-09
93.650224	41.076400390625	7	831.0	459.0	1.2815807672239553e-09	3.952759378865745e-09	1.6820529033045873e-09
93.750224	38.413427823337216	3	781.0	609.0	1.2815807672250656e-09	4.276336262980518e-09	3.648838813773425e-09
93.850224	41.78822989179387	0	732.0	541.0	1.2815807672250656e-09	5.9776999036276205e-09	5.6227988006718465e-09
93.950224	41.197806640625	1	1278.0	1054.0	5.511794099000156e-09	6.077348314202924e-09	2.7409649195153652e-09
94.050224	39.18252734375	1	908.0	719.0	2.1927537177768298e-08	6.544559758258073e-09	3.5910223813107046e-09
94.150224	39.2824112196817	3	1068.0	757.0	1.2807590714147833e-09	6.0677777093953726e-09	4.265251813592164e-09
94.250224	39.203484375	1	1456.0	1083.0	1.2807590714147833e-09	2.1188609698031825e-08	7.155318378828657e-09
94.350224	40.46259765625	0	1280.0	1005.0	1.2807590714147833e-09	8.792390689440488e-09	5.5847448923596054e-09
