replicate,species,window_bp,metric,value
13,dog,200000,spearman,0.2950387765163472
13,wolf,500000,pearson,0.7615479546639392
13,wolf,500000,log_pearson,0.4940750221499873
13,wolf,500000,spearman,0.4700706864428799
13,dog,500000,pearson,0.7326051408072418
13,dog,500000,log_pearson,0.3868644621837612
13,dog,500000,spearman,0.3167471415362198
13,wolf,1000000,pearson,0.8590867667444801
13,wolf,1000000,log_pearson,0.5333577702508917
13,wolf,1000000,spearman,0.5762279186617663
13,dog,1000000,pearson,0.8156839155436735
13,dog,1000000,log_pearson,0.39553747883594975
13,dog,1000000,spearman,0.3923678953566284
14,wolf,100000,pearson,0.58320703889242
14,wolf,100000,log_pearson,0.3914906056149937
14,wolf,100000,spearman,0.34575998343649345
14,dog,100000,pearson,0.567120415660787
14,dog,100000,log_pearson,0.34007348706792334
14,dog,100000,spearman,0.2712726414350146
14,wolf,200000,pearson,0.657067805126172
14,wolf,200000,log_pearson,0.4403372087217478
14,wolf,200000,spearman,0.4077549584075172
14,dog,200000,pearson,0.628617420731529
14,dog,200000,log_pearson,0.36787620287834194
14,dog,200000,spearman,0.3150020708094626
14,wolf,500000,pearson,0.7630222215988657
14,wolf,500000,log_pearson,0.4847113466537738
14,wolf,500000,spearman,0.47380141333106446
14,dog,500000,pearson,0.7408868678983999
14,dog,500000,log_pearson,0.4083309410786489
14,dog,500000,spearman,0.3420080884640218
14,wolf,1000000,pearson,0.8624666510128078
14,wolf,1000000,log_pearson,0.5234090012810559
14,wolf,1000000,spearman,0.5736933791699944
14,dog,1000000,pearson,0.8249081793018663
14,dog,1000000,log_pearson,0.424105585168748
14,dog,1000000,spearman,0.422877323186978
15,wolf,100000,pearson,0.5802697536321608
15,wolf,100000,log_pearson,0.3878338929386657
15,wolf,100000,spearman,0.3425691986566981
15,dog,100000,pearson,0.5533527285296777
15,dog,100000,log_pearson,0.34200832528308783
15,dog,100000,spearman,0.2806662558103936
15,wolf,200000,pearson,0.6539993400337338
15,wolf,200000,log_pearson,0.4354726097053509
15,wolf,200000,spearman,0.4056360232145193
15,dog,200000,pearson,0.6151979591784229
15,dog,200000,log_pearson,0.37242412139336734
15,dog,200000,spearman,0.32798430669875006
15,wolf,500000,pearson,0.7599912054607568
15,wolf,500000,log_pearson,0.4810635820285804
15,wolf,500000,spearman,0.4652627033761011
15,dog,500000,pearson,0.7390621332995831
15,dog,500000,log_pearson,0.4174200609727761
15,dog,500000,spearman,0.35354730244307947
15,wolf,1000000,pearson,0.8561387765418587
15,wolf,1000000,log_pearson,0.5254681997823311
15,wolf,1000000,spearman,0.5682225720249304
15,dog,1000000,pearson,0.8203465372644106
15,dog,1000000,log_pearson,0.41749227023749413
15,dog,1000000,spearman,0.4189476913524729
16,wolf,100000,pearson,0.5809763835447784
16,wolf,100000,log_pearson,0.3875734726920595
16,wolf,100000,spearman,0.3408643522825916
16,dog,100000,pearson,0.5682622679864063
16,dog,100000,log_pearson,0.3379517763869755
16,dog,100000,spearman,0.26351759329372565
16,wolf,200000,pearson,0.6578706663637789
16,wolf,200000,log_pearson,0.4389351330753573
16,wolf,200000,spearman,0.4051565706000614
16,dog,200000,pearson,0.6307037487885514
16,dog,200000,log_pearson,0.3683468560495169
16,dog,200000,spearman,0.3063293258415471
16,wolf,500000,pearson,0.7604485456502184
16,wolf,500000,log_pearson,0.48333967438498493
16,wolf,500000,spearman,0.4723906153172892
16,dog,500000,pearson,0.7545749766888722
16,dog,500000,log_pearson,0.41006801281186367
16,dog,500000,spearman,0.3363270347369856
16,wolf,1000000,pearson,0.8587842107295984
16,wolf,1000000,log_pearson,0.5246432190489536
16,wolf,1000000,spearman,0.5692305445029263
16,dog,1000000,pearson,0.8318952871528857
16,dog,1000000,log_pearson,0.41186026872647613
16,dog,1000000,spearman,0.4052743255640088
17,wolf,100000,pearson,0.5798204497422639
17,wolf,100000,log_pearson,0.39117404565000546
17,wolf,100000,spearman,0.34080871829370885
17,dog,100000,pearson,0.552223795001011
17,dog,100000,log_pearson,0.34082084021395104
17,dog,100000,spearman,0.27863629024194936
17,wolf,200000,pearson,0.6561091280125767
